Line 6: Token TK_FUNID, Lexeme _computeFunctionValue
Line 6: Token TK_INPUT, Lexeme input
Line 6: Token TK_PARAMETER, Lexeme parameter
Line 6: Token TK_LIST, Lexeme list
Line 6: Token TK_SQL, Lexeme [
Line 6: Token TK_INT, Lexeme int
Line 6: Token TK_ID, Lexeme c3
Line 6: Token TK_COMMA, Lexeme ,
Line 6: Token TK_INT, Lexeme int
Line 6: Token TK_ID, Lexeme c4
Line 6: Token TK_COMMA, Lexeme ,
Line 6: Token TK_INT, Lexeme int
Line 6: Token TK_ID, Lexeme c5
Line 6: Token TK_SQR, Lexeme ]
Line 7: Token TK_OUTPUT, Lexeme output
Line 7: Token TK_PARAMETER, Lexeme parameter
Line 7: Token TK_SQL, Lexeme [
Line 7: Token TK_REAL, Lexeme real
Line 7: Token TK_ID, Lexeme c6
Line 7: Token TK_SQR, Lexeme ]
Line 7: Token TK_SEM, Lexeme ;
Line 8: Token TK_TYPE, Lexeme type
Line 8: Token TK_REAL, Lexeme real
Line 8: Token TK_COLON, Lexeme :
Line 8: Identifier is longer than the prescribed length of 20 characters
Line 8: Token TK_SEM, Lexeme ;
Line 9: Token TK_TYPE, Lexeme type
Line 9: Token TK_REAL, Lexeme real
Line 9: Token TK_COLON, Lexeme :
Line 9: Token TK_ID, Lexeme c4bbb
Line 9: Token TK_SEM, Lexeme ;
Line 10: Token TK_ID, Lexeme c6
Line 10: Token TK_ASSIGNOP, Lexeme <---
Line 10: Unknown pattern 5000.7 
Line 10: Token TK_SEM, Lexeme ;
Line 11: Token TK_ID, Lexeme d4cbcd5677
Line 11: Token TK_ASSIGNOP, Lexeme <---
Line 11: Token TK_OP, Lexeme (
Line 11: Token TK_OP, Lexeme (
Line 11: Token TK_ID, Lexeme c3
Line 11: Token TK_PLUS, Lexeme +
Line 11: Token TK_NUM, Lexeme 2
Line 11: Token TK_MUL, Lexeme *
Line 11: Token TK_ID, Lexeme c4
Line 11: Token TK_MINUS, Lexeme -
Line 11: Token TK_OP, Lexeme (
Line 11: Token TK_ID, Lexeme c5
Line 11: Token TK_MINUS, Lexeme -
Line 11: Token TK_NUM, Lexeme 5
Line 11: Token TK_CL, Lexeme )
Line 11: Token TK_CL, Lexeme )
